,child_mortality,disabled_total_by_age,morbidity_age_disease_17,morbidity_age_disease_18,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,do not feel constrained when living,feel uncomfortable while living,experience great discomfort while living,did not answer,total area size,size of living space,number of rooms,population,gross_regional_product,regional_production,retail_turnover_per_capita,minors,group of people,criminal community,drug,alco,newborn_monthly
Республика Хакасия,40.166666666666664,334340.25,294626.94999999995,59085.2,18.849999999999998,20.200000000000003,21181.5,39.599999999999994,4.6,55.775000000000006,71.2,17.0,11.8,0.0,25.0,17.9,2.6,536364.5,423478.8833333333,346482228.8333333,154251.5,266.2,350.6,7.0,16.975,84.725,6555.829999999999
Алтайский край,167.5,2067111.75,347194.95,97527.85,17.63333333333333,26.316666666666663,22480.833333333332,37.55,6.15,56.300000000000004,83.2,13.4,3.3,0.1,25.9,18.0,2.4,2354552.0,245133.8666666667,639206450.6633333,146700.83333333334,1074.6,1251.2,8.8,18.224999999999998,97.45000000000002,24840.16
Красноярский край,209.5,2127244.0,268970.5,58363.149999999994,17.716666666666665,20.366666666666667,29723.833333333332,38.875,5.6000000000000005,55.5,83.3,12.9,3.8,0.0,22.7,16.6,2.3,2869557.0,769992.4,3500292694.686667,183934.0,1323.4,1844.0,7.2,19.6,88.275,34908.496666666666
Иркутская область,212.33333333333334,2518953.75,340034.7,67254.6,18.633333333333336,22.983333333333334,24346.833333333332,39.474999999999994,6.075,54.425,79.8,16.0,4.1,0.0,21.3,16.3,2.4,2404960.8333333335,549992.4,1907109637.545,141871.66666666666,1410.6,1524.0,18.8,17.975,96.8,31856.318333333333
Кемеровская область — Кузбасс,182.0,2654220.25,302681.55,64928.899999999994,14.516666666666666,21.55,23141.666666666668,42.025000000000006,5.025,52.97500000000001,85.4,11.5,3.1,0.0,23.3,16.3,2.4,2696408.0,388300.0,2615435653.7099996,137812.33333333334,1506.0,1468.2,10.4,16.725,48.974999999999994,28055.489999999994
Новосибирская область,188.0,2174375.0,318114.55000000005,55324.5,15.050000000000002,21.450000000000003,28499.333333333332,36.325,7.025,56.6,78.6,16.9,4.5,0.0,23.2,16.3,2.3,2778169.5,439803.0833333333,1076757057.3016667,176971.83333333334,1211.8,2025.2,23.4,22.75,34.95,33912.81333333333
Омская область,149.5,1526403.25,294703.1,69692.75,14.033333333333331,26.149999999999995,25742.5,41.65,5.550000000000001,52.825,84.6,12.8,2.6,0.0,23.4,16.9,2.5,1960045.3333333333,363707.1166666667,1538414133.4616668,167185.83333333334,493.2,1161.8,1.8,8.05,35.7,22640.995
Томская область,58.0,715781.0,285336.35,46467.649999999994,14.766666666666667,20.26666666666667,27370.5,40.225,4.5,55.3,88.1,10.5,1.4,0.0,25.7,16.9,2.3,1077516.5,516610.05,659991716.5,143608.0,513.6,532.0,2.6,11.100000000000001,49.175,12284.666666666666
Республика Бурятия,90.83333333333333,889260.75,185337.25,49141.35,19.383333333333336,20.8,24480.333333333332,43.5,4.95,51.574999999999996,77.3,17.6,5.0,0.0,22.7,17.2,2.4,983105.6666666666,253376.36666666667,224288943.73333335,180334.0,789.0,672.4,22.2,4.425,47.800000000000004,14411.665
Забайкальский край,93.5,949385.5,276818.75,42384.149999999994,21.533333333333335,22.966666666666665,23932.666666666668,37.300000000000004,7.85,54.849999999999994,81.9,13.0,5.1,0.1,23.1,17.1,2.4,1074623.0,305808.7,291741645.695,151150.83333333334,999.4,1223.2,13.8,7.975,89.52499999999999,14260.666666666666
Республика Саха (Якутия),83.33333333333333,628293.75,362512.75,62762.45,18.75,14.283333333333331,41844.833333333336,45.2,5.425000000000001,49.375,82.1,14.7,3.2,0.0,23.5,16.5,2.2,963792.5,1046126.4166666666,1407265663.1416667,228563.0,443.6,413.4,5.8,3.6500000000000004,153.175,14141.161666666667
Камчатский край,26.666666666666668,162485.0,348908.35,50961.25,16.15,13.933333333333332,48132.0,41.55,3.0,55.45,73.2,21.7,5.1,0.0,23.9,15.9,2.2,315235.0,776200.7666666666,265050690.665,179462.5,186.4,221.2,4.4,8.925,73.25,3656.5
Приморский край,131.5,1295707.75,333204.80000000005,47081.5,14.633333333333333,21.7,33902.0,41.55,5.55,52.89999999999999,79.0,17.9,3.1,0.0,22.4,15.7,2.2,1916175.8333333333,490275.3333333333,555345808.3783333,205863.83333333334,905.0,865.4,9.2,42.3,74.5,20910.83166666667
Хабаровский край,86.0,796417.0,293109.0,42271.1,12.666666666666666,21.083333333333332,38567.666666666664,37.525,8.025,54.475,78.5,15.5,6.0,0.1,23.3,15.4,2.2,1328594.8333333333,552765.4333333333,702677665.2583333,239569.16666666666,806.6,781.6,6.6,14.675,133.875,16064.666666666666
Амурская область,52.5,791456.5,340228.25,53503.8,15.9,23.816666666666666,30861.5,38.2,5.625,56.175000000000004,77.3,16.8,5.9,0.0,23.2,17.3,2.3,799829.3333333334,433306.76666666666,257791299.06666663,211181.0,596.0,603.0,0.0,20.275,98.55,9208.166666666666
